# tomo projection en/sss for segment 9 
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
103.568069 12.092208 91.475861
44.952301 22.138138 22.814163
40.136799 14.174907 25.961891
-5.246538 21.218699 -26.465237
120.258217 14.298092 105.960129
13.714136 16.167730 -2.453594
92.450882 25.587246 66.863632
118.461800 17.106644 101.355156
67.715988 41.571861 26.144127
19.280367 18.059393 1.220974
93.657837 25.259855 68.397980
37.976963 32.432888 5.544075
171.087631 31.326380 139.761246
54.571735 36.765224 17.806511
148.001587 40.455883 107.545700
129.537460 36.045792 93.491669
40.713688 39.113190 1.600498
157.526108 73.931229 83.594879
153.206070 72.403702 80.802368
228.298553 63.678936 164.619614
295.372223 121.640724 173.731506
300.340393 154.713150 145.627243
336.608185 148.765671 187.842514
388.623108 131.213211 257.409912
373.737976 340.951538 32.786438
449.313232 158.195847 291.117371
488.124084 317.890289 170.233795
608.763916 258.064545 350.699371
573.964294 284.848175 289.116119
667.105713 278.448822 388.656891
697.334167 725.567017 -28.232849
905.202698 607.374573 297.828125
933.289124 657.984863 275.304260
1108.686768 661.665710 447.021057
1129.879517 603.138184 526.741333
1278.273193 1419.281738 -141.008545
1420.632812 1172.691895 247.940918
1501.775513 1188.676147 313.099365
1637.356934 1012.583679 624.773254
1777.351318 1402.296753 375.054565
1911.162476 1166.988037 744.174438
1949.855469 1415.282104 534.573364
2056.012695 1306.953125 749.059570
2173.579590 2288.132568 -114.552979
2457.166016 2740.715088 -283.549072
2720.710205 2198.471680 522.238525
2966.806396 2154.871826 811.934570
3089.734863 2078.899658 1010.835205
3279.225098 2516.593750 762.631348
3348.646484 2317.480225 1031.166260
3486.252686 3240.829346 245.423340
3505.936035 2549.684326 956.251709
3934.479492 3827.123047 107.356445
4092.510010 3682.121094 410.388916
4149.368652 3187.921631 961.447021
4376.963867 4021.342529 355.621338
4597.854980 5419.863281 -822.008301
5028.603516 4332.875977 695.727539
5344.081543 4000.290283 1343.791260
5778.924316 4824.384766 954.539551
6467.618652 4848.695312 1618.923340
7433.934570 4900.266113 2533.668457
9260.469727 5849.189941 3411.279785
12628.990234 5178.251953 7450.738281
17017.951172 6491.193359 10526.757812
22073.900391 5023.639648 17050.261719
25559.009766 5182.123047 20376.886719
29103.111328 7106.342285 21996.769531
31810.798828 6229.955566 25580.843750
33268.683594 7346.683105 25922.000000
34779.851562 6453.143066 28326.708984
35837.578125 7452.612793 28384.964844
36979.472656 8507.468750 28472.003906
37943.335938 7672.863770 30270.472656
38839.328125 9040.223633 29799.105469
39457.312500 8472.007812 30985.304688
40191.410156 7399.625977 32791.785156
40593.644531 11643.041016 28950.603516
40365.113281 11812.511719 28552.601562
40836.148438 9328.642578 31507.505859
40896.414062 7350.375000 33546.039062
41259.203125 9922.592773 31336.609375
41609.886719 10040.806641 31569.080078
41422.671875 8704.809570 32717.863281
41405.648438 10297.423828 31108.224609
41570.738281 8844.672852 32726.066406
41597.898438 9995.807617 31602.089844
41816.890625 10581.371094 31235.519531
41700.429688 12315.256836 29385.171875
42108.710938 11412.008789 30696.703125
42355.859375 12668.730469 29687.128906
42914.156250 18701.458984 24212.697266
43192.714844 9703.396484 33489.320312
43036.371094 10621.369141 32415.001953
43416.457031 10710.681641 32705.775391
43921.671875 9000.514648 34921.156250
44839.488281 12094.376953 32745.111328
44640.058594 12223.055664 32417.003906
44775.304688 10526.197266 34249.109375
44808.539062 12293.010742 32515.527344
44618.585938 10437.648438 34180.937500
44902.230469 11632.786133 33269.445312
44184.289062 12860.635742 31323.652344
44782.980469 11391.552734 33391.429688
44113.753906 13027.252930 31086.500000
44220.167969 11972.966797 32247.201172
44265.238281 10970.122070 33295.117188
45367.156250 12798.246094 32568.910156
45159.441406 11339.279297 33820.164062
45220.093750 15222.905273 29997.187500
45399.433594 11479.332031 33920.101562
45594.199219 11510.004883 34084.195312
45347.687500 15361.566406 29986.121094
45709.472656 11562.141602 34147.332031
45560.292969 13235.537109 32324.755859
45191.109375 11487.119141 33703.992188
45345.328125 12790.226562 32555.101562
45001.859375 14141.735352 30860.125000
45774.335938 12418.756836 33355.578125
45295.519531 14183.652344 31111.867188
45786.335938 12923.118164 32863.218750
45831.378906 11634.162109 34197.218750
46680.878906 13439.905273 33240.972656
46584.972656 11806.902344 34778.070312
46553.179688 15769.824219 30783.355469
46671.746094 11832.836914 34838.910156
46709.003906 11788.112305 34920.890625
46290.464844 15664.564453 30625.900391
46576.066406 11665.374023 34910.691406
46752.894531 13147.434570 33605.460938
45769.804688 11331.071289 34438.734375
45895.621094 12455.572266 33440.046875
45338.414062 13692.730469 31645.683594
46200.792969 12024.832031 34175.960938
45436.968750 13683.406250 31753.562500
45847.445312 12427.519531 33419.925781
45732.843750 11179.717773 34553.125000
45999.085938 13220.977539 32778.109375
46206.019531 11283.438477 34922.582031
45936.281250 13056.104492 32880.175781
45898.386719 12969.749023 32928.636719
45639.976562 9660.778320 35979.199219
45633.304688 11517.307617 34115.996094
45267.660156 11429.811523 33837.847656
45811.316406 10485.408203 35325.906250
45261.406250 20400.845703 24860.560547
45471.285156 13948.831055 31522.453125
45605.320312 12683.901367 32921.417969
45442.910156 13743.733398 31699.175781
45791.546875 11833.651367 33957.894531
45076.566406 11225.336914 33851.230469
45208.074219 9979.650391 35228.421875
