# axial projection en/sss for segment 14
68542.664062 27212.517578 41330.148438
68871.796875 26662.056641 42209.742188
68296.171875 25360.035156 42936.136719
68201.054688 25464.382812 42736.671875
68464.109375 26935.423828 41528.687500
67765.976562 25605.843750 42160.132812
68978.359375 26197.626953 42780.734375
68836.937500 25704.273438 43132.664062
68287.757812 25140.861328 43146.898438
68196.335938 23607.181641 44589.156250
68549.132812 23524.617188 45024.515625
68551.023438 23543.263672 45007.757812
68462.203125 24113.126953 44349.078125
68393.562500 24493.955078 43899.609375
68901.046875 25082.769531 43818.277344
69117.546875 25802.039062 43315.507812
69412.968750 26125.791016 43287.179688
69945.617188 26377.003906 43568.613281
70135.273438 26261.242188 43874.031250
70688.007812 26069.271484 44618.734375
70565.812500 25817.828125 44747.984375
71139.015625 25369.996094 45769.019531
71596.890625 25206.128906 46390.761719
71588.351562 24887.103516 46701.250000
72018.648438 25106.632812 46912.015625
72259.531250 25425.837891 46833.695312
72923.664062 27101.123047 45822.539062
73458.367188 28087.193359 45371.171875
73782.726562 28803.748047 44978.976562
72728.640625 28597.716797 44130.921875
72749.437500 30297.548828 42451.890625
72336.890625 28940.839844 43396.050781
72153.460938 29144.505859 43008.953125
72202.429688 30595.904297 41606.523438
72776.703125 31631.203125 41145.500000
