#http://cp3.irmp.ucl.ac.be/~delaere/MLP/
#r        z       Br
21.5        2.5        4.289830040008784
23.5        2.5        5.134652455070628
1.5        4.5        0.19910492099418967
3.5        4.5        0.4673799647736073
5.5        4.5        0.7381066498564524
7.5        4.5        1.0269220013824814
9.5        4.5        1.335819439633597
11.5        4.5        1.6431871010342238
13.5        4.5        2.006527999302167
15.5        4.5        2.4128751806075313
17.5        4.5        2.8716425510075227
19.5        4.5        3.39008244679907
21.5        4.5        3.9638336620487604
23.5        4.5        4.470045749681639
1.5        6.5        0.19577454804375863
3.5        6.5        0.4576226394234354
5.5        6.5        0.7306576827362783
7.5        6.5        1.0057770675473436
9.5        6.5        1.307194318742561
11.5        6.5        1.5777772278056232
13.5        6.5        1.9137511138204004
15.5        6.5        2.2771418544418682
17.5        6.5        2.6106263613712635
19.5        6.5        3.023045546315911
21.5        6.5        3.442279988457347
23.5        6.5        3.8263755713638745
1.5        8.5        0.18953444969791822
3.5        8.5        0.4382101381619086
5.5        8.5        0.6862955233675336
7.5        8.5        0.9541543561091117
9.5        8.5        1.2353939437584727
11.5        8.5        1.5068184217906635
13.5        8.5        1.8189098785536388
15.5        8.5        2.145837925121855
17.5        8.5        2.4573564686783818
19.5        8.5        2.8058369514006625
21.5        8.5        3.137384453019728
23.5        8.5        3.4169398072944905
1.5        10.5        0.1794831366196762
3.5        10.5        0.41482558472718317
5.5        10.5        0.6631637418685405
7.5        10.5        0.908804387019688
9.5        10.5        1.175175069491743
11.5        10.5        1.3773690661963054
13.5        10.5        1.7248296976849273
15.5        10.5        1.8934154335823257
17.5        10.5        2.174486050176056
19.5        10.5        2.4406891308879075
21.5        10.5        2.6716169705403696
23.5        10.5        2.8757422215144715
1.5        12.5        0.16807515301876394
3.5        12.5        0.3827744866790377
5.5        12.5        0.6117009641361243
7.5        12.5        0.8271943796001354
9.5        12.5        1.0666778509364714
11.5        12.5        1.29017014256394
13.5        12.5        1.5387991380538864
15.5        12.5        1.7701484468386268
17.5        12.5        2.015422668533642
19.5        12.5        2.238154453481231
21.5        12.5        2.454259944000889
23.5        12.5        2.6124045284121196
1.5        14.5        0.15670778272020175
3.5        14.5        0.3617659346683795
5.5        14.5        0.5671057506857888
7.5        14.5        0.7847705948371477
9.5        14.5        0.9961087463998942
11.5        14.5        1.2177626219877404
13.5        14.5        1.4366877656496522
15.5        14.5        1.538734781168841
17.5        14.5        1.7375107426297676
19.5        14.5        1.9099699414296563
21.5        14.5        2.066521487541694
23.5        14.5        2.206450334894161
1.5        16.5        0.14281896443736922
3.5        16.5        0.33375699671926967
5.5        16.5        0.5084867611953848
7.5        16.5        0.7293412421132388
9.5        16.5        0.879601423458668
11.5        16.5        1.056749637517072
13.5        16.5        1.2503529485748426
15.5        16.5        1.426959469362522
17.5        16.5        1.6015282046964807
19.5        16.5        1.766609365879288
21.5        16.5        1.8982597269422063
23.5        16.5        2.0343449620324807
1.5        18.5        0.13001569618275938
3.5        18.5        0.29772179669817234
5.5        18.5        0.4649352247191297
7.5        18.5        0.6437882115835294
9.5        18.5        0.812606727703433
11.5        18.5        0.9888303934898625
13.5        18.5        1.1584436486753082
15.5        18.5        1.2205036775725133
17.5        18.5        1.480092239797101
19.5        18.5        1.4915138068086442
21.5        18.5        1.6079145985656886
23.5        18.5        1.6954468087048649
1.5        20.5        0.11887346543822272
3.5        20.5        0.27210101951651705
5.5        20.5        0.43367338855482035
7.5        20.5        0.5930804633492865
9.5        20.5        0.7041566129108331
11.5        20.5        0.914931162476031
13.5        20.5        0.9941991269980938
15.5        20.5        1.1284977054158678
17.5        20.5        1.2582261234181469
19.5        20.5        1.3800824620134629
21.5        20.5        1.4712293382195205
23.5        20.5        1.5697509657336357
1.5        22.5        0.10805567555204161
3.5        22.5        0.2509804591399709
5.5        22.5        0.3820065858038551
7.5        22.5        0.5145587648346678
9.5        22.5        0.6474360145997322
11.5        22.5        0.7877145800041282
13.5        22.5        0.9184691479990285
15.5        22.5        1.0413828565226897
17.5        22.5        1.1634566392317343
19.5        22.5        1.162894406529612
21.5        22.5        1.2504950814401135
23.5        22.5        1.3152969874993472
1.5        24.5        0.09692620664087997
3.5        24.5        0.221027203842953
5.5        24.5        0.3464884317358052
7.5        24.5        0.47664050974304417
9.5        24.5        0.6018880453916363
11.5        24.5        0.727036717910435
13.5        24.5        0.7815746593116908
15.5        24.5        0.8893612135406076
17.5        24.5        0.9861955952301863
19.5        24.5        1.078491584158165
21.5        24.5        1.1487728627960914
23.5        24.5        1.2235766503686702
1.5        26.5        0.08660629257177518
3.5        26.5        0.201480100841001
5.5        26.5        0.30094785672301233
7.5        26.5        0.4364158134350196
9.5        26.5        0.5186496718508868
11.5        26.5        0.6207177745196437
13.5        26.5        0.7236723590475181
15.5        26.5        0.8202293214836874
17.5        26.5        0.9137842406267926
19.5        26.5        0.9089881464659246
21.5        26.5        1.0667945149068094
23.5        26.5        1.0307623273356505
1.5        28.5        0.07833834985701006
3.5        28.5        0.17384122867385768
5.5        28.5        0.27923986860849664
7.5        28.5        0.3773252385997281
9.5        28.5        0.4753478948604258
11.5        28.5        0.5729652396748787
13.5        28.5        0.6674364913173991
15.5        28.5        0.6986169913333743
17.5        28.5        0.7736469865104115
19.5        28.5        0.8453558925600094
21.5        28.5        0.9040748406165482
23.5        28.5        0.9629611165742055
1.5        30.5        0.06999227514520871
3.5        30.5        0.16093159355051714
5.5        30.5        0.2531329367786159
7.5        30.5        0.34597385051452545
9.5        30.5        0.4063978452361452
11.5        30.5        0.5285288644940175
13.5        30.5        0.5703685078280591
15.5        30.5        0.6457720467974463
17.5        30.5        0.7187094847037023
19.5        30.5        0.7802144012350032
21.5        30.5        0.842998787412828
23.5        30.5        0.8146705297702578
1.5        32.5        0.06235524899115892
3.5        32.5        0.14688018512874165
5.5        32.5        0.21963375404512692
7.5        32.5        0.2964546507104869
9.5        32.5        0.37805206061211566
11.5        32.5        0.45303686904007834
13.5        32.5        0.5272274861206695
15.5        32.5        0.5489472501758531
17.5        32.5        0.6623596915940982
19.5        32.5        0.665035842575655
21.5        32.5        0.7163411513340234
23.5        32.5        0.7637894287350196
1.5        34.5        0.0564453973162824
3.5        34.5        0.1268989607047713
5.5        34.5        0.19995670490719983
7.5        34.5        0.27505092003974
9.5        34.5        0.3471648636764974
11.5        34.5        0.38860549432325625
13.5        34.5        0.4491354725108872
15.5        34.5        0.5107014596182101
17.5        34.5        0.5664739577760006
19.5        34.5        0.6199676744850056
21.5        34.5        0.6703383021852434
23.5        34.5        0.7054618253113754
1.5        36.5        0.050519031938562255
3.5        36.5        0.1170048975133088
5.5        36.5        0.18460747828018526
7.5        36.5        0.2389227448591832
9.5        36.5        0.2983596145078372
11.5        36.5        0.35773007332830586
13.5        36.5        0.4176827565641234
15.5        36.5        0.4736176531594971
17.5        36.5        0.5278674948030168
19.5        36.5        0.5289933295026872
21.5        36.5        0.6185019806604771
23.5        36.5        0.605233234118582
1.5        38.5        0.04506879796654558
3.5        38.5        0.10723620701109689
5.5        38.5        0.16084601258636075
7.5        38.5        0.2178665139817742
9.5        38.5        0.2768542821164439
11.5        38.5        0.33248820757707237
13.5        38.5        0.3874681575420032
15.5        38.5        0.4064868494388678
17.5        38.5        0.4514304116457055
19.5        38.5        0.49258458568924
21.5        38.5        0.532201862546068
23.5        38.5        0.5694121919021897
1.5        40.5        0.04094220711151188
3.5        40.5        0.09328368910502345
5.5        40.5        0.14727385756386116
7.5        40.5        0.20186383219132406
9.5        40.5        0.2553468683960023
11.5        40.5        0.2874115498547787
13.5        40.5        0.3332024320715361
15.5        40.5        0.37830674956144517
17.5        40.5        0.4202488161933892
19.5        40.5        0.4611685668599064
21.5        40.5        0.4585512955816894
23.5        40.5        0.4897821856693598
1.5        42.5        0.03681046770567452
3.5        42.5        0.08581352529164725
5.5        42.5        0.1358086374141211
7.5        42.5        0.17643327753031848
9.5        42.5        0.22120745789289778
11.5        42.5        0.2659210332399001
13.5        42.5        0.3097751566195037
15.5        42.5        0.3521318459065928
17.5        42.5        0.3933150490131691
19.5        42.5        0.39812757471915505
21.5        42.5        0.43111499697994293
23.5        42.5        0.4573857513146505
1.5        44.5        0.03295691435868542
3.5        44.5        0.07617524648585544
5.5        44.5        0.11908693859521449
7.5        44.5        0.16193076842323603
9.5        44.5        0.20498798925052378
11.5        44.5        0.247249622049105
13.5        44.5        0.2887986461218257
15.5        44.5        0.3052989298702669
17.5        44.5        0.3402132246552292
19.5        44.5        0.3740342739716718
